PPD_ID,Gene Symbol,Gene ID,Protein concentration,Unit,Method,Sample type,Reference,Highest reported plasma protein level,Unit,Sample type
HPRD_00829,HLA-C,3107,28,ng/ml,Spectral counting,Plasma,21632744,28,ng/ml,Plasma
HPRD_01228,HMGB1,3146,45,ng/ml,Spectral counting,Plasma,21632744,45,ng/ml,Plasma
HPRD_01229,HMGB2,3148,5.6,ng/ml,Spectral counting,Plasma,21632744,5.6,ng/ml,Plasma
HPRD_01230,HMGN2,3151,22,ng/ml,Spectral counting,Plasma,21632744,22,ng/ml,Plasma
HPRD_13665,HN1,51155,9.7,ng/ml,Spectral counting,Plasma,21632744,9.7,ng/ml,Plasma
HPRD_01242,HNRNPA1,3178,2.6,ng/ml,Spectral counting,Plasma,21632744,2.6,ng/ml,Plasma
HPRD_02526,HNRNPA2B1,3181,4.1,ng/ml,Spectral counting,Plasma,21632744,4.1,ng/ml,Plasma
HPRD_05644,HNRNPA3,220988,1.6,ng/ml,Spectral counting,Plasma,21632744,1.6,ng/ml,Plasma
HPRD_01243,HNRNPC,3183,5.9,ng/ml,Spectral counting,Plasma,21632744,5.9,ng/ml,Plasma
HPRD_02834,HNRNPK,3190,1.4,ng/ml,Spectral counting,Plasma,21632744,1.4,ng/ml,Plasma
HPRD_04185,HNRNPU,3192,3.5,ng/ml,Spectral counting,Plasma,21632744,3.5,ng/ml,Plasma
HPRD_18952,HNRNPUL2,221092,1.5,ng/ml,Spectral counting,Plasma,21632744,1.5,ng/ml,Plasma
HPRD_00772,HP,3240,210,ug/ml,Spectral counting,Plasma,21632744,323.97,ug/ml,Blood
HPRD_00772,HP,3240,100-2200,ug/ml,Single radial immunodiffusion,Serum,4172868,2200,ug/ml,Serum
HPRD_00772,HP,3240,323.97,ug/ml,Multiple reaction monitoring,Blood,23221968,1.1,mg/ml,Plasma
HPRD_00772,HP,3240,1100,ug/ml,Multiple reaction monitoring,Plasma,23245390,,,
HPRD_00772,HP,3240,880,ug/ml,Immunoassay,Plasma,16038022,,,
HPRD_00772,HP,3240,620,ug/ml,-,Plasma,15611012,,,
HPRD_00772,HP,3240,620,ug/ml,-,Plasma,20204147,,,
HPRD_00772,HP,3240,880,ug/ml,-,Plasma,20677825,,,
HPRD_00772,HP,3240,1300,ug/ml,-,Plasma,19690635,,,
HPRD_00772,HP,3240,1365,ug/ml,-,Plasma,15627965,,,
HPRD_00772,HP,3240,1500,ug/ml,-,Plasma,12938928,,,
HPRD_00772,HP,3240,3800-7800,ug/ml,-,Plasma,14961748,,,
HPRD_11026,HP1BP3,50809,13,ng/ml,Spectral counting,Plasma,21632744,13,ng/ml,Plasma
HPRD_02564,HPCAL1,3241,1.2,ng/ml,Spectral counting,Plasma,21632744,1.2,ng/ml,Plasma
HPRD_02041,HPD,3242,13,ng/ml,Spectral counting,Plasma,21632744,13,ng/ml,Plasma
HPRD_00773,HPR,3250,40.7 ± 14.3,mg/L,Western blot,Plasma,16778136,55,ug/ml,Plasma
HPRD_02388,HPRT1,3251,2.6,ng/ml,Spectral counting,Plasma,21632744,2.6,ng/ml,Plasma
HPRD_00793,HPX,3263,180,ug/ml,Spectral counting,Plasma,21632744,290.12,ug/ml,Blood
HPRD_00793,HPX,3263,800-1300,ug/ml,Single radial immunodiffusion,Serum,4172868,1.3,mg/ml,Serum
HPRD_00793,HPX,3263,241.7,ug/ml,Multiple reaction monitoring,Plasma,22547352,750,ug/ml,Plasma
HPRD_00793,HPX,3263,257,ug/ml,Multiple reaction monitoring,Plasma,22547352,,,
HPRD_00793,HPX,3263,290.12,ug/ml,Multiple reaction monitoring,Blood,23221968,,,
HPRD_00793,HPX,3263,476.2,ug/ml,Multiple reaction monitoring,Plasma,23245390,,,
HPRD_00793,HPX,3263,274.528,ug/ml,Multiple reaction monitoring,Plasma,22577024,,,
HPRD_00793,HPX,3263,750,ug/ml,Immunoassay,Plasma,16038022,,,
HPRD_00793,HPX,3263,200,ug/ml,-,Plasma,15627965,,,
HPRD_00793,HPX,3263,750,ug/ml,-,Plasma,19572557,,,
HPRD_00793,HPX,3263,750,ug/ml,-,Plasma,20677825,,,
HPRD_00793,HPX,3263,760,ug/ml,-,Plasma,15611012,,,
HPRD_00793,HPX,3263,760,ug/ml,-,Plasma,20204147,,,
HPRD_00793,HPX,3263,800,ug/ml,-,Plasma,12938928,,,
HPRD_00793,HPX,3263,400-1500,ug/ml,-,Serum,11580905,,,
HPRD_00793,HPX,3263,400-1500,ug/ml,-,Serum,21090636,,,
HPRD_00812,HRG,3273,35,ug/ml,Spectral counting,Plasma,21632744,138.9,ug/ml,Serum
HPRD_00812,HRG,3273,100±8.3,ug/ml,ELISA,Serum,3958188,138.9,ug/ml,Plasma
HPRD_00812,HRG,3273,100±8.3,ug/ml,ELISA,Plasma,20204147,,,
HPRD_00812,HRG,3273,126.2±12.7,ug/ml,ELISA,Plasma,3958188,,,
HPRD_00812,HRG,3273,126.2±12.7,ug/ml,ELISA,Serum,20204147,,,
HPRD_00812,HRG,3273,90,ug/ml,-,Plasma,12938928,,,
HPRD_00812,HRG,3273,100,ug/ml,-,Plasma,15627965,,,
HPRD_00812,HRG,3273,100,ug/ml,-,Serum,20204147,,,
HPRD_00812,HRG,3273,100,ug/ml,-,Plasma,20677825,,,
HPRD_17114,HRNR,388697,190,ng/ml,Spectral counting,Plasma,21632744,190,ng/ml,Plasma
HPRD_03924,HRSP12,10247,51,ng/ml,Spectral counting,Plasma,21632744,51,ng/ml,Plasma
HPRD_02223,HSD17B10,3028,6.2,ng/ml,Spectral counting,Plasma,21632744,6.2,ng/ml,Plasma
HPRD_00777,HSP90AA1,3320,88,ng/ml,Spectral counting,Plasma,21632744,88,ng/ml,Plasma
HPRD_06763,HSP90AB1,3326,88,ng/ml,Spectral counting,Plasma,21632744,88,ng/ml,Plasma
HPRD_01860,HSP90B1,7184,88,ng/ml,Spectral counting,Plasma,21632744,88,ng/ml,Plasma
HPRD_00774,HSPA1A,3303,100,ng/ml,Spectral counting,Plasma,21632744,100,ng/ml,Plasma
HPRD_09025,HSPA4,3308,11,ng/ml,Spectral counting,Plasma,21632744,11,ng/ml,Plasma
HPRD_00682,HSPA5,3309,100,ng/ml,Spectral counting,Plasma,21632744,100,ng/ml,Plasma
HPRD_07205,HSPA8,3312,100,ng/ml,Spectral counting,Plasma,21632744,100,ng/ml,Plasma
HPRD_02770,HSPA9,3313,2.5,ng/ml,Spectral counting,Plasma,21632744,2.5,ng/ml,Plasma
HPRD_09076,HSPB1,3315,5.3,ng/ml,Spectral counting,Plasma,21632744,28.17,ng/ml,Serum
HPRD_09076,HSPB1,3315,16.67-28.17,ng/ml,ELISA,Serum,21555305,,,
HPRD_00318,HSPD1,3329,5.1,ng/ml,Spectral counting,Plasma,21632744,5.1,ng/ml,Plasma
HPRD_02535,HSPE1,3336,6.4,ng/ml,Spectral counting,Plasma,21632744,6.4,ng/ml,Plasma
HPRD_00804,HSPG2,3339,120,ng/ml,Spectral counting,Plasma,21632744,120,ng/ml,Plasma
HPRD_03448,HYOU1,10525,6.6,ng/ml,Spectral counting,Plasma,21632744,6.6,ng/ml,Plasma
HPRD_00996,ICAM1,3383,71,ng/ml,Spectral counting,Plasma,21632744,159,ng/ml,Plasma
HPRD_00996,ICAM1,3383,144,ng/ml,Multiple reaction monitoring,Plasma,22577024,,,
HPRD_00996,ICAM1,3383,43,ng/ml,Immunoassay,Plasma,16038022,,,
HPRD_00996,ICAM1,3383,118.49-312.83,ng/ml,ELISA,Serum,10638947,,,
HPRD_00996,ICAM1,3383,149 ± 10,ng/ml,ELISA,Plasma,7572659,,,
HPRD_00996,ICAM1,3383,22.8±6.4,mg/dl,ELISA,Plasma,15547024,,,
HPRD_00996,ICAM1,3383,516-803,ng/ml,ELISA,Serum,17101577,,,
HPRD_00996,ICAM1,3383,43,ng/ml,-,Plasma,19572557,,,
HPRD_00996,ICAM1,3383,43,ng/ml,-,Plasma,20677825,,,
HPRD_00996,ICAM1,3383,63,ng/ml,-,Plasma,16335952,,,
HPRD_00996,ICAM1,3383,210,ng/ml,-,Plasma,19690635,,,
HPRD_00996,ICAM1,3383,530,ng/ml,-,Plasma,15611012,,,
HPRD_00888,ICAM2,3384,37,ng/ml,Spectral counting,Plasma,21632744,,,
HPRD_00889,ICAM3,3385,3.6,ng/ml,Spectral counting,Plasma,21632744,,,
HPRD_00889,ICAM3,3385,111 ± 54,ng/ml,Sandwich ELISA,Serum,7836774,,,
HPRD_00889,ICAM3,3385,200,ng/ml,-,Plasma,16335952,,,
HPRD_05757,ICOSLG,23308,2.2,ng/ml,Spectral counting,Plasma,21632744,2.2,ng/ml,Plasma
HPRD_00984,IDH1,3417,6.6,ng/ml,Spectral counting,Plasma,21632744,6.6,ng/ml,Plasma
HPRD_03094,IDH3A,3419,180,ng/ml,Spectral counting,Plasma,21632744,180,ng/ml,Plasma
HPRD_00974,IFNA1,3439,0-2.2,ng/ml,Multiplex immunobead assay,Serum,17438101,2.2,ng/ml,Serum
HPRD_00974,IFNA1,3439,0-96,pg/ml,Multiplex beadbased Luminex technology,Plasma,21300928,96,pg/ml,Plasma
HPRD_00126,IFNAR1,3454,1.7,ug/ml,-,Plasma,19690635,1.7,ug/ml,Plasma
HPRD_03850,IFNAR2,3455,1.7,ug/ml,-,Plasma,19690635,1.7,ug/ml,Plasma
HPRD_00957,IFNG,3458,0-23,pg/ml,Multiplex beadbased Luminex technology,Plasma,21300928,31.75,pg/ml,Serum
HPRD_00957,IFNG,3458,54,pg/ml,Immunoassay,Plasma,16038022,54,pg/ml,Plasma
HPRD_00957,IFNG,3458,0.7-2.4,pg/ml,Immunoassay,Serum,21724697,,,
HPRD_00957,IFNG,3458,9.95 ± 2.6,pg/ml,Enzyme immunoassay,Serum,14965793,,,
HPRD_00957,IFNG,3458,0-3.8,pg/ml,ELISA,Plasma,21849293,,,
HPRD_00957,IFNG,3458,5.4 ± 1.0,pg/ml,ELISA,Serum,21435242,,,
HPRD_00957,IFNG,3458,7.80-31.75,pg/ml,ELISA,Serum,22698804,,,
HPRD_00957,IFNG,3458,10,pg/ml,-,Plasma,19690635,,,
HPRD_00936,IGF1,3479,7.6,ug/ml,Spectral counting,Plasma,21632744,397.6,ng/ml,Serum
HPRD_00936,IGF1,3479,155.33±16.93,ug/l,Radioimmunoassay,Serum,15588149,7.6,ug/ml,Plasma
HPRD_00936,IGF1,3479,247.63±149.96,ng/ml,Radioimmunoassay,Serum,20486202,,,
HPRD_00936,IGF1,3479,91,ng/ml,Multiple reaction monitoring,Plasma,22577024,,,
HPRD_00936,IGF1,3479,127,ng/ml,Multiple reaction monitoring,Plasma,23592487,,,
HPRD_00936,IGF1,3479,214,ng/ml,Immunoradiometric assay,Plasma,11106682,,,
HPRD_00936,IGF1,3479,118.9-128.4,ng/ml,ELISA,Plasma,11352850,,,
HPRD_00936,IGF1,3479,76- 449,ng/ml,ELISA,Plasma,15159305,,,
HPRD_00936,IGF1,3479,190,ng/ml,-,Plasma,15611012,,,
HPRD_00936,IGF1,3479,210,ng/ml,-,Plasma,19690635,,,
HPRD_00936,IGF1,3479,214,ng/ml,-,Plasma,20698492,,,
HPRD_00936,IGF1,3479,620,ug/ml,-,Plasma,19690635,,,
HPRD_00932,IGF1R,3480,240,pg/ml,Immunoassay,Plasma,16038022,240,pg/ml,Plasma
HPRD_00939,IGF2,3481,24,ug/ml,Spectral counting,Plasma,21632744,24,ug/ml,Plasma
HPRD_00939,IGF2,3481,108- 881,ng/ml,ELISA,Plasma,15159305,,,
HPRD_00939,IGF2,3481,426.3-454.9,ng/ml,ELISA,Plasma,11352850,,,
HPRD_00939,IGF2,3481,380,ng/ml,-,Plasma,19690635,,,
HPRD_00939,IGF2,3481,380,ng/ml,-,Plasma,20698492,,,
HPRD_00928,IGF2R,3482,26,ng/ml,Spectral counting,Plasma,21632744,26,ng/ml,Plasma
HPRD_03290,IGFALS,3483,1.5,ug/ml,Spectral counting,Plasma,21632744,1.5,ug/ml,Plasma
HPRD_03290,IGFALS,3483,24,ug/ml,-,Plasma,15627965,,,
HPRD_03290,IGFALS,3483,24,ug/ml,-,Plasma,20677825,,,
HPRD_03290,IGFALS,3483,690,ug/ml,-,Serum,20204147,,,
HPRD_00897,IGFBP1,3484,23,ng/ml,Spectral counting,Plasma,21632744,,,
HPRD_00897,IGFBP1,3484,37.72±4.41,ug/l,Radioimmunoassay,Serum,15588149,116.7,ng/ml,Plasma
HPRD_00897,IGFBP1,3484,10,ng/ml,Multiple reaction monitoring,Plasma,22577024,42.1,ng/ml,Serum
HPRD_00897,IGFBP1,3484,102.2-116.7,ng/ml,ELISA,Plasma,11352850,,,
HPRD_00897,IGFBP1,3484,60,ng/ml,-,Plasma,15611012,,,
HPRD_00897,IGFBP1,282259,110,ng/ml,-,Plasma,19690635,110,ng/ml,Plasma
HPRD_00898,IGFBP2,3485,930,ng/ml,Spectral counting,Plasma,21632744,,,
HPRD_00898,IGFBP2,3485,15,ng/ml,Immunoassay,Plasma,16038022,,,
HPRD_00898,IGFBP2,3485,15,ng/ml,-,Plasma,19572557,,,
HPRD_00898,IGFBP2,3485,15,ng/ml,-,Plasma,20677825,,,
HPRD_00898,IGFBP2,3485,305,ng/ml,-,Plasma,20698492,,,
HPRD_00898,IGFBP2,3485,310,ng/ml,-,Plasma,19690635,,,
HPRD_00899,IGFBP3,3486,5.7,ug/ml,Spectral counting,Plasma,21632744,3.98,ug/ml,Serum
HPRD_00899,IGFBP3,3486,3.81±0.17,mg/l,Radioimmunoassay,Serum,15588149,5.7,ug/ml,Plasma
HPRD_00899,IGFBP3,3486,59,ng/ml,Immunoassay,Plasma,16038022,,,
HPRD_00899,IGFBP3,3486,2701.0-2883.1,ng/ml,ELISA,Plasma,11352850,,,
HPRD_00899,IGFBP3,3486,513- 4778,ng/ml,ELISA,Plasma,15159305,,,
HPRD_00899,IGFBP3,3486,2.5,ug/ml,-,Plasma,19690635,,,
HPRD_00899,IGFBP3,3486,20,ng/ml,-,Plasma,16335952,,,
HPRD_00899,IGFBP3,3486,59,ng/ml,-,Plasma,19572557,,,
HPRD_00900,IGFBP4,3487,3.2,ug/ml,Spectral counting,Plasma,21632744,3.2,ug/ml,Plasma
HPRD_00901,IGFBP5,3488,1.7,ug/ml,Spectral counting,Plasma,21632744,281,ng/ml,Serum
HPRD_00901,IGFBP5,3488,206 ± 67,ng/ml,ELISA,Serum,11788658,1.7,ug/ml,Plasma
HPRD_00901,IGFBP5,3488,208 ± 73,ng/ml,ELISA,Serum,11788658,,,
HPRD_00902,IGFBP6,3489,1.1,ug/ml,Spectral counting,Plasma,21632744,,,
HPRD_00902,IGFBP6,3489,0.39±0.03,mg/l,Radioimmunoassay,Serum,15588149,1.1,ug/ml,Plasma
HPRD_00902,IGFBP6,3489,160,ng/ml,-,Serum,20204147,420,ng/ml,Serum
HPRD_04183,IGFBP7,3490,480,ng/ml,Spectral counting,Plasma,21632744,480,ng/ml,Plasma
HPRD_04183,IGFBP7,3490,24-85,ng/ml,sandwich ELISA,Serum,12843194,85,ng/ml,Serum
HPRD_04183,IGFBP7,3490,9.9-40,ng/ml,sandwich ELISA,Serum,12843194,,,
HPRD_11757,IGHG4,3503,320,ug/ml,Spectral counting,Plasma,21632744,320,ug/ml,Plasma
HPRD_00912,IGHM,3507,18,ug/ml,Spectral counting,Plasma,21632744,320,ug/ml,Plasma
HPRD_00912,IGHM,3507,320,ug/ml,Spectral counting,Plasma,21632744,,,
HPRD_00991,IGJ,3512,5.6,ug/ml,Spectral counting,Plasma,21632744,5.6,ug/ml,Plasma
HPRD_09438,IGSF8,93185,1.6,ng/ml,Spectral counting,Plasma,21632744,1.6,ng/ml,Plasma
HPRD_00495,IL10,3586,2.3-51,pg/ml,Multiplex beadbased Luminex technology,Plasma,21300928,8.24,pg/ml,Serum
HPRD_00495,IL10,3586,0-14.1,pg/ml,ELISA,Plasma,21849293,14.1,pg/ml,Plasma
HPRD_00495,IL10,3586,3.8-7.2,pg/ml,ELISA,Serum,18775894,,,
HPRD_00495,IL10,3586,6.76 ± 1.48,pg/ml,Chemiluminescence assay,Serum,22165670,,,
HPRD_00495,IL10,3586,3.5,pg/ml,-,Plasma,19690635,,,
HPRD_00473,IL10RB,3588,150,pg/ml,Immunoassay,Plasma,16038022,150,pg/ml,Plasma
HPRD_01193,IL12A,3592,3.9,pg/ml,-,Plasma,19690635,3.9,pg/ml,Plasma
HPRD_01194,IL12B,3593,0-1.9,ng/ml,Multiplex immunobead assay,Serum,17438101,1.9,ng/ml,Serum
HPRD_01194,IL12B,3593,77,pg/ml,-,Plasma,14961748,77,pg/ml,Plasma
HPRD_00981,IL13,3596,0.0-447.8,pg/ml,Multiplex immunobead assay,Serum,17438101,447.8,pg/ml,Serum
HPRD_00981,IL13,3596,20-370,pg/ml,ELISA,Serum,22698804,,,
HPRD_04329,IL16,3603,100,pg/ml,-,Plasma,19690635,100,pg/ml,Plasma
HPRD_04396,IL17A,3605,0.6±1.4,pg/ml,ELISA,Serum,21874405,79.3,pg/ml,Serum
HPRD_04396,IL17A,3605,0-6.5,pg/ml,ELISA,Serum,21637346,,,
HPRD_04396,IL17A,3605,68.33 ± 10.98,ng/L,ELISA,Serum,21129782,,,
HPRD_02976,IL18,3606,58.7,pg/ml,ELISA,Serum,12093765,277,pg/ml,Serum
HPRD_02976,IL18,3606,159.9 ± 10.9,pg/ml,ELISA,Serum,21435242,59,pg/ml,Plasma
HPRD_02976,IL18,3606,217.41 ± 59.81,pg/ml,ELISA,Serum,21526496,,,
HPRD_02976,IL18,3606,91.3 ± 27.5,pg/ml,ELISA,Serum,18775894,,,
HPRD_02976,IL18,3606,59,pg/ml,-,Plasma,15611012,,,
HPRD_04984,IL18BP,10068,3.9,ng/ml,Spectral counting,Plasma,21632744,3.9,ng/ml,Plasma
HPRD_05138,IL18R1,8809,52.3 ± 8.5,ng/ml,ELISA,Serum,21435242,60.8,ng/ml,Serum
HPRD_00988,IL1A,3552,0.0-996.3,pg/ml,Multiplex immunobead assay,Serum,17438101,45,pg/ml,Plasma
HPRD_00988,IL1A,3552,45,pg/ml,Immunoassay,Plasma,16038022,996.3,pg/ml,Serum
HPRD_00988,IL1A,3552,3,pg/ml,-,Plasma,19690635,,,
HPRD_00985,IL1B,3553,0-2.25,ng/ml,Multiplex immunobead assay,Serum,17438101,2.25,ng/ml,Serum
HPRD_00985,IL1B,3553,0-49,pg/ml,Multiplex beadbased Luminex technology,Plasma,21300928,49,pg/ml,Plasma
HPRD_00985,IL1B,3553,1.77±0.23,pg/ml,ELISA,Plasma,16320084,,,
HPRD_00985,IL1B,3553,4.90  ± 1.40,pg/ml,Chemiluminescence assay,Serum,22165670,,,
HPRD_00985,IL1B,3553,1.2,pg/ml,-,Plasma,15611012,,,
HPRD_00985,IL1B,3553,5,pg/ml,-,Plasma,19690635,,,
HPRD_00995,IL1R2,7850,7.1,ng/ml,Spectral counting,Plasma,21632744,7.1,ng/ml,Plasma
HPRD_04021,IL1RAP,3556,4.7,ng/ml,Spectral counting,Plasma,21632744,4.7,ng/ml,Plasma
HPRD_03123,IL1RL1,9173,7,ng/ml,Spectral counting,Plasma,21632744,7,ng/ml,Plasma
HPRD_03123,IL1RL1,9173,455.4 ± 621.1,pg/ml,ELISA,Serum,21935266,,,
HPRD_00978,IL1RN,3557,2-419,pg/ml,Multiplex beadbased Luminex technology,Plasma,21300928,906.8,pg/ml,serum
HPRD_00978,IL1RN,3557,114-906.8,pg/ml,ELISA,serum,17964877,419,pg/ml,Plasma
HPRD_00978,IL1RN,3557,1.6,ng/ml,-,Plasma,19690635,,,
HPRD_00978,IL1RN,3557,236,pg/ml,-,Plasma,16335952,,,
HPRD_00979,IL2,3558,0.0-25.9,pg/ml,ELISA,serum,17964877,1381,pg/ml,Serum
HPRD_00979,IL2,3558,4.9-47.3,pg/ml,ELISA,Serum,17101577,51,pg/ml,Plasma
HPRD_00979,IL2,3558,1153 ±228,pg/ml,Chemiluminescence assay,Serum,22165670,,,
HPRD_00979,IL2,3558,51,pg/ml,-,Plasma,15611012,,,
HPRD_00979,IL2,3558,500,fg/ml,-,Plasma,19690635,,,
HPRD_00986,IL2RA,3559,0-507,pg/ml,Multiplex beadbased Luminex technology,Plasma,21300928,,,
HPRD_00986,IL2RA,3559,1400,pg/ml,-,Plasma,19690635,507,pg/ml,Plasma
HPRD_09346,IL32,9235,248.45 ± 188.42,pg/ml,ELISA,Serum,21487807,436.8,pg/ml,Serum
HPRD_12275,IL33,90865,95.9 ± 236.9,pg/ml,ELISA,Serum,21935266,332.8,pg/ml,Serum
HPRD_00989,IL4,3565,0.0-2.5,pg/ml,ELISA,serum,17964877,2.5,pg/ml,serum
HPRD_00970,IL6,3569,0-2.4,ng/ml,Multiplex immunobead assay,Serum,17438101,2.4,ng/ml,Serum
HPRD_00970,IL6,3569,0-9,pg/ml,Multiplex beadbased Luminex technology,Plasma,21300928,9,pg/ml,Plasma
HPRD_00970,IL6,3569,0.0-6.0,pg/ml,ELISA,serum,17964877,,,
HPRD_00970,IL6,3569,0.3-4.8,pg/ml,ELISA,Serum,9346362,,,
HPRD_00970,IL6,3569,0.5-14.6,pg/ml,ELISA,Serum,10815616,,,
HPRD_00970,IL6,3569,0.5-16.6,pg/ml,ELISA,Serum,9883970,,,
HPRD_00970,IL6,3569,0.5-16.6,pg/ml,ELISA,Serum,10233412,,,
HPRD_00970,IL6,3569,0.77-7.91,pg/ml,ELISA,Serum,18775894,,,
HPRD_00970,IL6,3569,0.8-3.9,pg/ml,ELISA,Serum,17101577,,,
HPRD_00970,IL6,3569,0-13.5,pg/ml,ELISA,Serum,21637346,,,
HPRD_00970,IL6,3569,0-15,pg/ml,ELISA,Serum,22112431,,,
HPRD_00970,IL6,3569,1.04±0.17,pg/ml,ELISA,Plasma,16320084,,,
HPRD_00970,IL6,3569,2.3-5.9,pg/ml,ELISA,Plasma,16642549,,,
HPRD_00970,IL6,3569,2.65 ± 0.55,pg/ml,ELISA,Serum,18197923,,,
HPRD_00970,IL6,3569,2.40±0.22,pg/ml,Chemiluminescence assay,Serum,22165670,,,
HPRD_00970,IL6,3569,5,pg/ml,-,Plasma,19690635,,,
HPRD_01000,IL6R,3570,123.4±11.01,ng/ml,Enzyme immunoassay,Plasma,12400844,64.5,ng/ml,Serum
HPRD_01000,IL6R,3570,23.7-64.5,ng/ml,ELISA,Serum,9883970,134.41,ng/ml,Plasma
HPRD_01000,IL6R,3570,23.7-64.5,ng/ml,ELISA,Serum,10233412,,,
HPRD_01000,IL6R,3570,23.7-64.5,ng/ml,ELISA,Serum,10815616,,,
HPRD_01000,IL6R,3570,30.1±2.3,ng/ml,ELISA,Plasma,15556049,,,
HPRD_01000,IL6R,3570,453.4±180.9,pg/ml,ELISA,Serum,12574959,,,
HPRD_01000,IL6R,3570,75.89 ± 35.83,ng/ml,ELISA,Plasma,17392576,,,
HPRD_01000,IL6R,3570,49,ng/ml,-,Plasma,16335952,,,
HPRD_01000,IL6R,3570,100,ng/ml,-,Plasma,15611012,,,
HPRD_01000,IL6R,3570,450,pg/ml,-,Plasma,19690635,,,
HPRD_02824,IL6ST,3572,1.3,ng/ml,Spectral counting,Plasma,21632744,1.3,ng/ml,Plasma
HPRD_02824,IL6ST,3572,310-710,pg/ml,ELISA,Serum,10815616,710,pg/ml,Serum
HPRD_02824,IL6ST,3572,270,ng/ml,-,Plasma,15611012,,,
HPRD_02824,IL6ST,3572,270,ng/ml,-,Plasma,19690635,,,
HPRD_00892,IL7,3574,7,pg/ml,Immunoassay,Plasma,16038022,,,
HPRD_00892,IL7,3574,11,pg/ml,-,Plasma,19690635,7,pg/ml,Plasma
HPRD_00909,IL8,3576,0.0-87.6,pg/ml,Multiplex immunobead assay,Serum,17438101,208,pg/ml,Serum
HPRD_00909,IL8,3576,0-18,pg/ml,Multiplex beadbased Luminex technology,Plasma,21300928,31,pg/ml,Plasma
HPRD_00909,IL8,3576,3.4-24.6 ,pg/ml,Luminex bead-based technology,Serum,22108905,,,
HPRD_00909,IL8,3576,1.69±0.47,pg/ml,ELISA,Serum,12648447,,,
HPRD_00909,IL8,3576,10-208,pg/ml,ELISA,Serum,21909201,,,
HPRD_00909,IL8,3576,14.0 ± 1.0,pg/ml,ELISA,Serum,18197923,,,
HPRD_00909,IL8,3576,3.7-8.9,pg/ml,Cytometric bead array,Serum,20032101,,,
HPRD_00909,IL8,3576,31-Mar,pg/ml,Chemiluminescent immunometric assay,Plasma,16183806,,,
HPRD_00909,IL8,3576,1.7,pg/ml,-,Plasma,15611012,,,
HPRD_00909,IL8,3576,83,pg/ml,-,Plasma,19690635,,,
HPRD_03842,ILK,3611,17,ng/ml,Spectral counting,Plasma,21632744,17,ng/ml,Plasma
HPRD_00895,IMPDH2,3615,1.9-20.7,pg/ml,ELISA,Serum,22215415,20.7,pg/ml,Serum
HPRD_00929,INHBA,3624,600,pg/ml,-,Plasma,15611012,600,pg/ml,Plasma
HPRD_03136,INHBC,3626,13,ng/ml,Spectral counting,Plasma,21632744,13,ng/ml,Plasma
HPRD_11047,INHBE,83729,11,ng/ml,Spectral counting,Plasma,21632744,11,ng/ml,Plasma
HPRD_09033,INPP5D,3635,410,ng/ml,Spectral counting,Plasma,21632744,410,ng/ml,Plasma
HPRD_01455,INS,3630,9.8,ng/ml,Spectral counting,Plasma,21632744,9.8,ng/ml,Plasma
HPRD_01455,INS,3630,100-3390,pg/ml,ELISA,Serum,14767861,3390,pg/ml,Serum
HPRD_08030,ISOC2,79763,3.1,ng/ml,Spectral counting,Plasma,21632744,3.1,ng/ml,Plasma
HPRD_06377,ITGA2B,3674,13,ng/ml,Spectral counting,Plasma,21632744,13,ng/ml,Plasma
HPRD_00628,ITGB1,3688,11,ng/ml,Spectral counting,Plasma,21632744,11,ng/ml,Plasma
HPRD_00628,ITGB1,3688,2.1,ug/ml,-,Plasma,16335952,,,
HPRD_01428,ITGB3,3690,21,ng/ml,Spectral counting,Plasma,21632744,21,ng/ml,Plasma
HPRD_01428,ITGB3,3690,5.5,ug/ml,-,Plasma,16335952,,,
HPRD_00927,ITIH1,3697,24,ug/ml,Spectral counting,Plasma,21632744,24,ug/ml,Plasma
HPRD_00927,ITIH1,3697,10.42,ug/ml,Multiple reaction monitoring,Blood,23221968,10.42,ug/ml,Blood
HPRD_00890,ITIH2,3698,21,ug/ml,Spectral counting,Plasma,21632744,21,ug/ml,Plasma
HPRD_00891,ITIH3,3699,2,ug/ml,Spectral counting,Plasma,21632744,2,ug/ml,Plasma
HPRD_02781,ITIH4,3700,42,ug/ml,Spectral counting,Plasma,21632744,42,ug/ml,Plasma
HPRD_17165,ITLN1,55600,34.58 ± 4.23,ng/ml,ELISA,Plasma,21497934,38.8,ng/ml,Plasma
HPRD_04878,ITM2B,9445,63,ng/ml,Spectral counting,Plasma,21632744,63,ng/ml,Plasma
HPRD_01414,JUP,3728,210,ng/ml,Spectral counting,Plasma,21632744,210,ng/ml,Plasma
HPRD_01867,KDR,3791,5.5-11.4,ng/ml,ELISA,Plasma,20473593,11.4,ng/ml,Plasma
HPRD_01867,KDR,3791,5.555-11.37,ng/ml,ELISA,Plasma,20615083,26,ng/ml,Serum
HPRD_01867,KDR,3791,8.7-26,ng/ml,ELISA,Serum,14760936,,,
HPRD_01867,KDR,3791,15,ng/ml,-,Plasma,19690635,,,
HPRD_11164,KIAA0319L,79932,550,ng/ml,Spectral counting,Plasma,21632744,550,ng/ml,Plasma
HPRD_13845,KIAA1244,57221,270,ng/ml,Spectral counting,Plasma,21632744,270,ng/ml,Plasma
HPRD_13866,KIAA1468,57614,110,ng/ml,Spectral counting,Plasma,21632744,110,ng/ml,Plasma
